IB,IC,error,beta,,,
0.8201,15.365,0.0007,18.73552006,,, 
0.6251,15.362,0.0007,24.57526796,,,
0.3604,15.344,0.0007,42.57491676,,,
0.2972,15.335,0.0007,51.59825034,,,
0.1387,15.283,0.0007,110.1874549,,,
0.1038,15.17,0.0007,146.1464355,,,
0.0798,14.375,0.0007,180.1378446,,,
0.0655,12.537,0.0007,191.4045802,,,
0.0596,11.766,0.0007,197.4161074,,,
0.0506,10.198,0.0007,201.541502,,,
0.0424,8.784,0.0007,207.1698113,,,
0.0351,7.427,0.0007,211.5954416,,,
0.0281,6.053,0.0007,215.4092527,,,
0.0199,4.375,0.0007,219.8492462,,,
0.0115,2.605,0.0007,226.5217391,,,
0.0092,2.108,0.0007,229.1304348,,,
0.008,1.851,0.0007,231.375,,,
