Freq,Vout,Vin,Vout/Vin,Phi,Delta Phi
100,10,8.4,1.19047619,-2.1,0.8333
150,11.2,8.4,1.333333333,-1.2,0.8333
200,12,8.4,1.428571429,-0.8,0.8333
250,12.8,8.4,1.523809524,-0.64,0.0333
300,12.2,8.4,1.452380952,-0.48,0.0333
350,13.6,8.2,1.658536585,-0.32,0.0333
400,14,8.2,1.707317073,-0.4,0.0333
500,14.4,8.2,1.756097561,-0.16,0.0333
600,14.8,8.2,1.804878049,-0.14,0.00167
650,14.8,8.2,1.804878049,-0.1,0.00167
700,15,8.2,1.829268293,-0.12,0.00083
1100,15,8.2,1.829268293,-0.06,0.00083
1500,15,8.2,1.829268293,-0.03,0.00083
5000,15.2,8.4,1.80952381,-0.008,0.000083
10000,15.2,8.4,1.80952381,-0.002,0.000083
20000,15.2,8.4,1.80952381,-0.0008,0.000083
100000,15.2,8.2,1.853658537,-0.0002,0.000003
1000000,15.6,8.4,1.857142857,-0.000004,0.0000003
